                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.4041,                 2.0064,                 1.3582,                 1.3527,                0.70753,                0.61921,                0.73496,                0.49576,                0.72159,                0.62628,                0.73098,                0.36442,                 1.1506,                 2.6415,                 1.8922,                 1.1484,             0.00049657,             0.00049657,             0.00049657
                     44,                 1.0033,                 2.1715,                 1.2877,                 1.2478,                0.70753,                0.61921,                0.73496,                0.49576,                0.72159,                0.62628,                0.73098,                0.36442,                 1.1506,                 2.6415,                 1.8922,                 1.1484,             0.00049964,             0.00049964,             0.00049964
                     45,                 1.0474,                 1.7857,                 1.3183,                  1.265,                0.70753,                0.61921,                0.73496,                0.49576,                0.72159,                0.62628,                0.73098,                0.36442,                 1.1506,                 2.6415,                 1.8922,                 1.1484,             0.00050232,             0.00050232,             0.00050232
                     46,                 1.1204,                 1.6503,                 1.2581,                 1.2447,                0.68866,                0.73394,                0.76688,                 0.5211,                0.70085,                0.73996,                0.76921,                  0.384,                 1.1702,                 2.4629,                 1.8049,                 1.1396,             0.00050459,             0.00050459,             0.00050459
                     47,                 1.0431,                 1.8806,                  1.187,                 1.2227,                0.68866,                0.73394,                0.76688,                 0.5211,                0.70085,                0.73996,                0.76921,                  0.384,                 1.1702,                 2.4629,                 1.8049,                 1.1396,             0.00050648,             0.00050648,             0.00050648
                     48,                0.98933,                 1.4589,                 1.1822,                 1.1589,                0.68866,                0.73394,                0.76688,                 0.5211,                0.70085,                0.73996,                0.76921,                  0.384,                 1.1702,                 2.4629,                 1.8049,                 1.1396,             0.00050797,             0.00050797,             0.00050797
                     49,                 1.0132,                 1.5306,                 1.2992,                 1.1999,                0.68866,                0.73394,                0.76688,                 0.5211,                0.70085,                0.73996,                0.76921,                  0.384,                 1.1702,                 2.4629,                 1.8049,                 1.1396,             0.00050906,             0.00050906,             0.00050906
                     50,                 1.0192,                 1.5819,                 1.1501,                 1.1304,                0.68523,                0.88751,                0.88903,                0.57955,                0.66256,                0.85522,                0.84185,                0.41002,                 1.1369,                 2.1662,                 1.9183,                 1.1256,             0.00050975,             0.00050975,             0.00050975
                     51,                 1.0583,                 1.6688,                 1.1863,                  1.192,                0.68523,                0.88751,                0.88903,                0.57955,                0.66256,                0.85522,                0.84185,                0.41002,                 1.1369,                 2.1662,                 1.9183,                 1.1256,               0.000505,               0.000505,               0.000505
                     52,                 1.2206,                 1.7338,                 1.2934,                 1.2335,                0.68523,                0.88751,                0.88903,                0.57955,                0.66256,                0.85522,                0.84185,                0.41002,                 1.1369,                 2.1662,                 1.9183,                 1.1256,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.1123,                 1.6628,                 1.2472,                  1.326,                0.68523,                0.88751,                0.88903,                0.57955,                0.66256,                0.85522,                0.84185,                0.41002,                 1.1369,                 2.1662,                 1.9183,                 1.1256,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3355,                 1.9104,                 1.4929,                 1.4464,                0.62064,                0.95305,                0.93522,                 0.5958,                0.62064,                0.95305,                0.93678,                0.51328,                 1.0537,                 1.7571,                 1.7209,                 1.1053,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.2053,                 1.9002,                 1.3808,                 1.3481,                0.62064,                0.95305,                0.93522,                 0.5958,                0.62064,                0.95305,                0.93678,                0.51328,                 1.0537,                 1.7571,                 1.7209,                 1.1053,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.1023,                 1.8194,                 1.3792,                 1.1735,                0.62064,                0.95305,                0.93522,                 0.5958,                0.62064,                0.95305,                0.93678,                0.51328,                 1.0537,                 1.7571,                 1.7209,                 1.1053,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.0795,                 1.5522,                 1.0534,                 1.0975,                0.62064,                0.95305,                0.93522,                 0.5958,                0.62064,                0.95305,                0.93678,                0.51328,                 1.0537,                 1.7571,                 1.7209,                 1.1053,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.1229,                 1.5152,                 1.0293,                 1.1122,                0.70436,                0.86092,                0.89054,                0.57931,                0.70436,                0.86092,                0.86367,                0.55768,                 1.0535,                 1.6209,                 1.7263,                  1.173,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.1928,                  2.033,                 1.2834,                 1.2988,                0.70436,                0.86092,                0.89054,                0.57931,                0.70436,                0.86092,                0.86367,                0.55768,                 1.0535,                 1.6209,                 1.7263,                  1.173,              0.0004258,              0.0004258,              0.0004258
                     60,                0.92141,                 1.4952,                 1.0392,                  1.123,                0.70436,                0.86092,                0.89054,                0.57931,                0.70436,                0.86092,                0.86367,                0.55768,                 1.0535,                 1.6209,                 1.7263,                  1.173,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.1387,                 1.7022,                 1.0771,                 1.1667,                0.70436,                0.86092,                0.89054,                0.57931,                0.70436,                0.86092,                0.86367,                0.55768,                 1.0535,                 1.6209,                 1.7263,                  1.173,               0.000406,               0.000406,               0.000406
                     62,                  1.175,                 1.5888,                  1.348,                 1.2485,                0.62003,                0.93944,                0.86291,                0.55646,                0.57567,                0.83388,                0.77296,                0.52311,                 1.0771,                 1.6013,                 1.4814,                 1.1862,              0.0003961,              0.0003961,              0.0003961
                     63,                  1.138,                 1.9282,                 1.0309,                 1.0945,                0.62003,                0.93944,                0.86291,                0.55646,                0.57567,                0.83388,                0.77296,                0.52311,                 1.0771,                 1.6013,                 1.4814,                 1.1862,              0.0003862,              0.0003862,              0.0003862
                     64,                0.96839,                 1.6505,                 1.2298,                 1.1848,                0.62003,                0.93944,                0.86291,                0.55646,                0.57567,                0.83388,                0.77296,                0.52311,                 1.0771,                 1.6013,                 1.4814,                 1.1862,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.0908,                 1.6635,                 1.1977,                 1.2389,                0.62003,                0.93944,                0.86291,                0.55646,                0.57567,                0.83388,                0.77296,                0.52311,                 1.0771,                 1.6013,                 1.4814,                 1.1862,              0.0003664,              0.0003664,              0.0003664
                     66,                  1.191,                 1.6214,                 1.4287,                 1.5377,                0.70051,                0.81632,                0.84386,                0.52456,                0.64668,                0.82978,                0.79249,                0.51732,                 1.0628,                 1.5173,                 1.3853,                 1.1291,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.0515,                 1.6365,                 1.2032,                 1.1675,                0.70051,                0.81632,                0.84386,                0.52456,                0.64668,                0.82978,                0.79249,                0.51732,                 1.0628,                 1.5173,                 1.3853,                 1.1291,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.2319,                 1.8654,                 1.4587,                 1.3508,                0.70051,                0.81632,                0.84386,                0.52456,                0.64668,                0.82978,                0.79249,                0.51732,                 1.0628,                 1.5173,                 1.3853,                 1.1291,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.0372,                 1.5761,                 1.0789,                 1.1648,                0.70051,                0.81632,                0.84386,                0.52456,                0.64668,                0.82978,                0.79249,                0.51732,                 1.0628,                 1.5173,                 1.3853,                 1.1291,              0.0003268,              0.0003268,              0.0003268
                     70,                  1.117,                 1.4714,                 1.1816,                 1.1777,                0.80659,                0.76855,                0.80991,                0.54662,                0.78532,                0.67989,                0.78056,                0.52518,                0.98058,                 1.4096,                 1.2852,                 1.0698,              0.0003169,              0.0003169,              0.0003169
                     71,                0.98738,                 1.4923,                 1.0399,                 1.1363,                0.80659,                0.76855,                0.80991,                0.54662,                0.78532,                0.67989,                0.78056,                0.52518,                0.98058,                 1.4096,                 1.2852,                 1.0698,               0.000307,               0.000307,               0.000307
                     72,                   1.09,                 1.4405,                 1.1754,                 1.2448,                0.80659,                0.76855,                0.80991,                0.54662,                0.78532,                0.67989,                0.78056,                0.52518,                0.98058,                 1.4096,                 1.2852,                 1.0698,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.0351,                 1.4958,                 1.1459,                 1.1554,                0.80659,                0.76855,                0.80991,                0.54662,                0.78532,                0.67989,                0.78056,                0.52518,                0.98058,                 1.4096,                 1.2852,                 1.0698,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.0297,                 1.6239,                 1.1478,                 1.1934,                0.86041,                0.88206,                0.89555,                0.67087,                0.84609,                0.78375,                0.88148,                0.62507,                0.89617,                 1.3143,                 1.0662,                 1.0331,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.0503,                 1.2864,                 1.2855,                   1.27,                0.86041,                0.88206,                0.89555,                0.67087,                0.84609,                0.78375,                0.88148,                0.62507,                0.89617,                 1.3143,                 1.0662,                 1.0331,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.0038,                 1.5942,                 1.0974,                 1.1822,                0.86041,                0.88206,                0.89555,                0.67087,                0.84609,                0.78375,                0.88148,                0.62507,                0.89617,                 1.3143,                 1.0662,                 1.0331,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.1459,                 2.2802,                 1.2497,                 1.2847,                0.86041,                0.88206,                0.89555,                0.67087,                0.84609,                0.78375,                0.88148,                0.62507,                0.89617,                 1.3143,                 1.0662,                 1.0331,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.0138,                 1.5198,                0.92753,                 1.1064,                0.82669,                0.90912,                 0.8987,                0.68956,                0.95116,                0.71483,                0.87274,                0.62487,                0.88017,                  1.303,                0.96281,                 1.0209,              0.0002377,              0.0002377,              0.0002377
                     79,                0.90264,                 1.3159,                 1.1125,                 1.1532,                0.82669,                0.90912,                 0.8987,                0.68956,                0.95116,                0.71483,                0.87274,                0.62487,                0.88017,                  1.303,                0.96281,                 1.0209,              0.0002278,              0.0002278,              0.0002278
                     80,                0.98633,                 1.5412,                 1.0536,                 1.1659,                0.82669,                0.90912,                 0.8987,                0.68956,                0.95116,                0.71483,                0.87274,                0.62487,                0.88017,                  1.303,                0.96281,                 1.0209,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.2563,                 1.6811,                 1.2665,                 1.2728,                0.82669,                0.90912,                 0.8987,                0.68956,                0.95116,                0.71483,                0.87274,                0.62487,                0.88017,                  1.303,                0.96281,                 1.0209,               0.000208,               0.000208,               0.000208
                     82,                 1.0174,                 1.6109,                0.96576,                 1.1446,                0.88154,                0.74885,                0.89926,                0.70429,                0.88154,                0.74885,                0.86972,                0.63508,                0.87707,                 1.2867,                0.92243,                 1.0127,              0.0001981,              0.0001981,              0.0001981
